Quadro 1 - Custo dos cargos diretos;;;;;;;;;;;;;;;Atualizado em 31/01/2018 - 09:12
Setores Diretos de Produção;;;;;;;;;Rateio dos Setores Indiretos Ligados à Produção;;;;;;
Setores de Produção;Cod. dos Setores;Operadores por Setor;MO Direta Operadores;Cod. Lider + Apoio;MO Direta Lideres e Apoio;Horas da MOD só operadores;Horas da MOD Total OPr + LAp;"Custo Unitário
R$/h";20;40;50;60;Soma dos Indiretos;Soma Diretos + Indiretos;"Custo Unitário
R$/h"
Mistura e Graxa;410;1;R$ 4.218;41;R$ 0;178 h;178 h;23,763;R$ 909;R$ 1.788;R$ 874;R$ 560;R$ 4.131;R$ 8.349;R$ 47,04
Extrusão Fitas;411;1;R$ 3.561;41;R$ 0;178 h;178 h;20,06;R$ 909;R$ 1.788;R$ 874;R$ 560;R$ 4.131;R$ 7.692;R$ 43,33
Laminação;412;2;R$ 9.265;41;R$ 0;355 h;355 h;26,10;R$ 1.819;R$ 3.576;R$ 1.747;R$ 1.120;R$ 8.262;R$ 17.527;R$ 49,37
Fios;420;3;R$ 13.667;42;R$ 0;533 h;533 h;25,67;R$ 2.728;R$ 5.364;R$ 2.621;R$ 1.681;R$ 12.393;R$ 26.060;R$ 48,94
Recorte MRMs;430;9;R$ 41.796;43;R$ 0;1.598 h;1.598 h;26,16;R$ 8.184;R$ 16.091;R$ 7.863;R$ 5.042;R$ 37.180;R$ 78.976;R$ 49,44
Recorte MRA;431;1;R$ 4.598;43;R$ 0;178 h;178 h;25,90;R$ 909;R$ 1.788;R$ 874;R$ 560;R$ 4.131;R$ 8.729;R$ 49,18
Recorte carretel;432;2;R$ 8.258;43;R$ 0;355 h;355 h;23,26;R$ 1.819;R$ 3.576;R$ 1.747;R$ 1.120;R$ 8.262;R$ 16.520;R$ 46,54
Embalagem Bosch;433;4;R$ 20.691;43;R$ 0;710 h;710 h;29,14;R$ 3.637;R$ 7.152;R$ 3.495;R$ 2.241;R$ 16.524;R$ 37.215;R$ 52,42
Embalagem Promaler;434;1;R$ 3.941;43;R$ 0;178 h;178 h;22,20;R$ 909;R$ 1.788;R$ 874;R$ 560;R$ 4.131;R$ 8.072;R$ 45,47
Tubos e Cordões;450;6;R$ 25.300;45;R$ 0;1.065 h;1.065 h;23,756;R$ 5.456;R$ 10.728;R$ 5.242;R$ 3.361;R$ 24.787;R$ 50.087;R$ 47,03
Gaxetas;460;2;R$ 9.095;46;R$ 0;355 h;355 h;25,62;R$ 1.819;R$ 3.576;R$ 1.747;R$ 1.120;R$ 8.262;R$ 17.357;R$ 48,89
Tot. Func. Fábrica:;;32;R$ 144.388;;R$ 0;5.680 h;5.680 h;25,42;R$ 29.099 ;R$ 57.213 ;R$ 27.957 ;R$ 17.927 ;R$ 132.196;R$ 276.584;R$ 48,69
